cProfile Syntax: python -m cProfile -s cumtime SPKF.py

SPKF.py cProfile

         16017338 function calls (15570273 primitive calls) in 69.671 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.035    0.003 axis.py:1394(grid)
        2    0.000    0.000    0.035    0.017 _backend_tk.py:60(_blit)
        2    0.035    0.017    0.035    0.017 {built-in method matplotlib.backends._tkagg.blit}
      342    0.002    0.000    0.034    0.000 transforms.py:1862(transform_affine)
    24/16    0.001    0.000    0.034    0.002 offsetbox.py:425(get_extent_offsets)
       36    0.001    0.000    0.034    0.001 __init__.py:340(__init__)
        1    0.000    0.000    0.033    0.033 _backend_tk.py:502(delayed_destroy)
        1    0.000    0.000    0.033    0.033 __init__.py:2337(destroy)
       29    0.022    0.001    0.033    0.001 enum.py:180(__new__)
       32    0.000    0.000    0.033    0.001 ticker.py:2113(__call__)
        1    0.000    0.000    0.033    0.033 mathtext.py:1(<module>)
      969    0.007    0.000    0.033    0.000 font_manager.py:968(_json_decode)
      327    0.002    0.000    0.033    0.000 patches.py:848(get_bbox)
    60/22    0.000    0.000    0.033    0.001 offsetbox.py:343(get_extent)
      369    0.002    0.000    0.032    0.000 text.py:162(update)
 1170/228    0.014    0.000    0.032    0.000 sre_compile.py:87(_compile)
       36    0.000    0.000    0.032    0.001 transforms.py:1813(transform_path_affine)
    24/16    0.000    0.000    0.032    0.002 offsetbox.py:436(<listcomp>)
       85    0.001    0.000    0.032    0.000 text.py:115(__init__)
      420    0.003    0.000    0.032    0.000 transforms.py:822(from_extents)
       32    0.000    0.000    0.031    0.001 ticker.py:2117(tick_values)
      342    0.031    0.000    0.031    0.000 {built-in method matplotlib._path.affine_transform}
